,missing_percent
COLGHOUS,99.99024791625398
LADULT,99.99024791625398
PCDMDECN,99.9454492815457
ASDRVIST,99.93051640330961
ASERVIST,99.93051640330961
ASNOSLEP,99.89577460496442
ASTHMED3,99.85219498072439
ASINHALR,99.85219498072439
ASYMPTOM,99.85189022810734
ASACTLIM,99.85158547549027
ASRCHKUP,99.85158547549027
ASATTACK,99.85067121763909
STREHAB1,99.84244289697838
PCPSADE1,99.81836744023039
HAREHAB1,99.76442622701023
ASTHMAGE,99.76198820607371
VINOCRE2,99.75741691681777
CCLGHOUS,99.75589315373246
HPVADSHT,99.66507687384765
VIEYEXM2,99.42980785347494
VIMACDG2,99.2823075868164
VICTRCT4,99.28139332896522
VIGLUMA2,99.28139332896522
VIINSUR2,99.28078382373108
VIREDIF3,99.2789553080287
VIPRFVS2,99.2789553080287
VIDFCLT2,99.27682203970927
PCPSARS1,99.1963673488046
PSATIME,99.19545309095342
CDHELP,99.0601429289774
LENGEXAM,98.86814878022764
RLIVPAIN,98.72217227665443
RDUCSTRK,98.72217227665443
RDUCHART,98.72186752403736
PROFEXAM,98.71363920337666
CASTHNO2,98.53383515930943
PSATEST1,98.51798802322214
PCPSARE1,98.51798802322214
PCPSADI1,98.51646426013684
PCPSAAD2,98.51463574443446
HPLSTTST,98.41985768052783
HPVADVC2,97.53485608057659
CDDISCUS,97.06827982385299
CDSOCIAL,97.06523229768236
CDASSIST,97.06035625580934
CDHOUSE,97.05669922440458
ASPUNSAF,96.99788196931142
NUMPHON2,96.98599661724595
HOWLONG,95.78618556386853
CVDASPRN,95.7194447407317
ARTHEDU,95.56188763771009
ARTHEXER,95.55944961677358
ARTHWGT,95.55823060630533
ARTTODAY,95.5551830801347
LSTBLDS3,95.52013652917243
ADANXEV,95.41012083441267
MISTMNT,95.40798756609323
LSATISFY,95.40768281347616
EMTSUPRT,95.40463528730552
ADMOVE,95.40433053468847
ADTHINK,95.40097825590077
ADFAIL,95.39732122449601
ADEAT1,95.39579746141071
ADENERGY,95.39305468785713
ADSLEEP,95.39183567738888
ADDOWN,95.38970240906944
ADPLEASR,95.38574062504762
LASTPAP2,95.16723299861337
HADHYST2,94.87588949670105
HPVTEST,94.82408155180032
HADPAP2,94.82133877824675
HADMAM,94.81951026254438
CRGVMST2,94.61044996723909
CRGVHOUS,94.59612659423713
CRGVPERS,94.59277431544943
CRGVPRB1,94.58515550002285
CRGVHRS1,94.57875569506453
CRGVLNG1,94.57083212702089
CRGVREL1,94.56534657991375
LONGWTCH,94.25998445761653
SCNTLPAD,94.22189038048364
SHINGLE2,93.6614503177046
FEETCHK,93.445990217441
DIABEYE,93.38534444664543
DIABEDU,93.38534444664543
DOCTDIAB,93.38503969402836
CHKHEMO3,93.38503969402836
EYEEXAM,93.38503969402836
FEETCHK2,93.38473494141131
BLDSUGAR,93.38412543617719
INSULIN,93.38382068356012
SCNTWRK1,92.08770780319075
SCNTPAID,92.08435552440307
SCNTLWK1,91.34776844896155
LASTSIG3,91.1137184390571
HADSGCO1,91.1128041812059
TETANUS,90.82968899995429
DRADVISE,90.67700793880567
WTCHSALT,90.66938912337909
CASTHDX2,88.08752495162052
HADSIGM3,87.74467825742454
BLDSTOOL,87.73736419461503
DIABAGE2,87.13334450759595
ASTHNOW,86.59637039633078
RCSRLTN2,86.47142182333491
_CLLCPWT,86.42875645694608
RCSGENDR,86.42418516769013
STOPSMK2,86.09566184649611
PREGNANT,85.22803114571747
_CRACE1,85.1881085528822
_CPRACE,85.1881085528822
SCNTMNY1,84.2680604019687
SCNTMEL1,83.39311563838055
PDIABTST,81.27417069194081
PREDIAB1,81.27417069194081
CRGVEXPT,80.86519267984214
CAREGIV1,75.36501744708733
WHRTST10,74.22585216450547
HIVTSTD3,74.18227254026544
CIMEMLOS,73.59562375241897
LASTSMK2,72.33882395965075
JOINPAIN,69.81516753775124
ARTHSOCL,69.23888033888491
ARTHDIS2,69.1919484358572
LMTJOIN3,69.15050207993662
_PNEUMO2,64.41799868956375
_FLSHOT6,64.41799868956375
TRNSGNDR,62.16648635470157
SXORIENT,62.14637268197541
BPMEDS,59.833300318466485
HHADULT,58.67828789979734
SMOKDAY2,58.323251100918824
LANDLINE,57.68570862602282
CADULT,57.513218644765104
CELLFON2,57.512913892148056
CTELNUM1,57.512913892148056
PVTRESD2,57.512913892148056
CSTATE,57.51260913953099
FLSHTMY2,56.916513020555556
IMFVPLAC,56.68429152635348
PADUR2_,56.27043747238179
PAFREQ2_,55.743215444862635
EXERHMM2,55.282124735246164
EXEROFT2,55.23976412147439
MAXDRNKS,52.27177838389687
